,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,lin_oracle,nn_oracle,nn_pi_oracle,nn_wmse_oracle
1,11.90991738,11.8228642,11.2497491,12.60130049,11.33342718,11.32200388,11.78643883,11.74197615,-34.85723293
2,11.90991738,12.16188525,11.66976138,12.85165551,11.75578101,11.75376211,12.10745035,12.14232976,-2379.962258
3,11.90991738,11.56499517,11.02277096,12.20350415,11.19343261,11.18227737,11.56724809,11.59578581,159.7694206
4,11.90991738,11.81245491,11.17907891,12.44877689,11.30204078,11.30527785,11.80229393,11.77069228,-86.96462931
5,11.90991738,12.02394494,11.55701032,12.74088461,11.59776323,11.60614608,11.98133494,11.98894623,-393.5789354
6,11.90991738,12.01810729,11.47018795,12.66659989,11.5510193,11.53352624,11.91389841,12.01914779,-14.91204627
7,11.90991738,11.62879473,10.99131207,12.35386986,11.03279629,11.03181387,11.5323658,11.54602599,-1829.552094
8,11.90991738,11.60400362,11.09234328,12.24456005,11.23321313,11.23101416,11.54864305,11.58525113,-131.1550222
9,11.90991738,12.10597659,11.60049527,12.74649601,11.67752235,11.68350581,12.04435301,12.05815349,-529.0360648
10,11.90991738,12.10427684,11.60760445,12.77937356,11.71427871,11.70261214,12.07903879,12.00853284,30.66677425
11,11.90991738,11.76639434,11.23732864,12.51102636,11.3636349,11.36934168,11.70743743,11.71289482,-257.1208465
12,11.90991738,11.64785708,11.15308391,12.40957392,11.21058555,11.20365403,11.64557817,11.58498829,-161.6662204
13,11.90991738,11.52035733,10.94973707,12.20856815,11.07230389,11.06410618,11.51775861,11.51904541,145.6808872
14,11.90991738,11.84224691,11.28738307,12.51575071,11.38193319,11.35760889,11.75987953,11.80909504,-282.9356651
15,11.90991738,11.81886412,11.28154895,12.46468993,11.34569143,11.35613582,11.72875812,11.7489847,-3121.119952
16,11.90991738,11.89840572,11.38211003,12.62414413,11.48119802,11.47907222,11.81778553,11.82375091,-3105.797672
17,11.90991738,11.73727399,11.04717633,12.32041944,11.2032379,11.22211341,11.69407594,11.68931077,-87.06813199
18,11.90991738,11.91910205,11.35710434,12.50989818,11.47502061,11.47148769,11.86282958,11.89059183,-395.6308748
19,11.90991738,11.77186418,11.15529845,12.38285108,11.29924081,11.27160477,11.70263176,11.70205477,-1231.709373
20,11.90991738,11.89101572,11.32644344,12.50901608,11.4513706,11.43683035,11.84370662,11.88412747,-1221.147648
21,11.90991738,12.12642268,11.58712316,12.77510152,11.72044735,11.70333436,12.04429593,12.05767595,-566.3691853
22,11.90991738,11.75192349,11.2824931,12.44730024,11.3893028,11.37125075,11.75637945,11.661584,7.049773582
23,11.90991738,11.8749414,11.2950139,12.49911814,11.3979589,11.38931144,11.86004274,11.8418315,-1868.317027
24,11.90991738,12.00064054,11.57526878,12.67135082,11.63650373,11.60268953,12.00868461,12.04999029,1060.79145
25,11.90991738,12.07201962,11.50941098,12.75595047,11.6386638,11.63593094,11.99751783,11.99878798,-49.10779154
26,11.90991738,11.92228708,11.35400737,12.50110905,11.40595888,11.39514649,11.85860883,11.84348155,12.55922837
27,11.90991738,11.80635771,11.21531218,12.45424499,11.28073408,11.2854589,11.75758596,11.83232851,-89.5967876
28,11.90991738,11.91878956,11.29450015,12.50302946,11.41313878,11.3981834,11.91240907,11.90327497,-13.10877491
29,11.90991738,11.87365474,11.39642268,12.55828613,11.50493612,11.50301496,11.78113158,11.83124852,8.499591206
30,11.90991738,12.23431185,11.7634332,12.92155026,11.83694976,11.83237502,12.25799765,12.27895409,-410.958384
31,11.90991738,11.99759497,11.42941641,12.59136601,11.51864666,11.52412408,12.01766955,11.90740337,46.89677048
32,11.90991738,12.02034654,11.6192306,12.7422814,11.67669219,11.67741641,11.97229846,11.93175606,-49.46319307
33,11.90991738,11.89706103,11.45061021,12.68759951,11.58256336,11.5683204,11.89723833,11.88040925,-622.8535607
34,11.90991738,11.82127865,11.29596917,12.59639255,11.39954339,11.405666,11.79337245,11.76016917,14.30761748
35,11.90991738,11.94149381,11.35952449,12.58978323,11.50502392,11.49825849,11.90085638,11.9298065,1120.53751
36,11.90991738,11.83591733,11.26841754,12.48033935,11.42779783,11.40299029,11.74171985,11.75856278,1093.592447
37,11.90991738,11.95416434,11.42760959,12.63730127,11.55178227,11.56957514,11.85776566,11.87212868,-50.53154864
38,11.90991738,11.89265059,11.31801239,12.53793363,11.42354499,11.4200948,11.82864581,11.85037283,-1646.515166
39,11.90991738,11.64626943,10.98016024,12.27468541,11.0795442,11.07852865,11.65365717,11.58712886,-1033.270797
40,11.90991738,12.0201182,11.49475246,12.60752518,11.6022347,11.6035605,12.01108013,11.98590207,-3035.916374
41,11.90991738,12.16264043,11.73862206,12.83154231,11.83220979,11.83425475,12.16039163,12.11153167,-1020.867741
42,11.90991738,12.14619651,11.66850159,12.73620856,11.76937977,11.76601674,12.09204087,12.11257184,-1260.076294
43,11.90991738,11.66509785,11.0882145,12.24559206,11.15599183,11.15021717,11.58049502,11.65396807,0
44,11.90318593,12.09614151,11.58902925,12.6809417,11.65701285,11.66325106,12.06753863,12.03842213,315.8816655
45,11.90318593,11.89460283,11.27302496,12.51265441,11.41335704,11.40841757,11.83102209,11.86792988,69.80880106
46,11.90318593,11.76972321,11.27216513,12.61351718,11.38526489,11.37165695,11.75956979,11.74465682,-1221.174135
47,11.90318593,11.50679173,10.86115391,12.3420422,10.99998698,10.99093299,11.47220887,11.49429818,-17.93457284
48,11.90318593,11.65815469,11.17644593,12.57725423,11.24879676,11.23257214,11.61048065,11.65608603,-195.9006231
49,11.90318593,12.06316211,11.71851346,12.89347888,11.79781776,11.79157038,12.0899555,12.06235914,-804.1982162
50,11.90318593,11.80173378,11.20481741,12.61260767,11.25819919,11.25535809,11.78438149,11.76324026,-2576.996232
51,11.90318593,11.75491987,11.26763062,12.64358821,11.33201201,11.3282685,11.7427498,11.68743394,-832.9873904
52,11.90318593,11.7388714,11.1566513,12.46937777,11.32288495,11.3271685,11.63799912,11.67112878,-1362.314588
53,11.90318593,11.90259004,11.35472196,12.68014019,11.50135232,11.50105915,11.83589025,11.83035101,-53.08394431
54,11.90318593,12.0117909,11.5528933,12.69209795,11.60662374,11.59367948,11.96748621,11.97047733,-1482.434591
55,11.90318593,11.76075404,11.23036708,12.54163131,11.3453533,11.33918502,11.73296731,11.70765442,-2264.106079
56,11.90318593,11.83622436,11.27843207,12.54379651,11.37780296,11.367515,11.7254847,11.74317605,13.72113608
57,11.90318593,11.70266456,11.20777711,12.5856701,11.31956723,11.32276596,11.60485283,11.61554311,-707.3505362
58,11.90318593,11.83743907,11.24437126,12.52548057,11.37756001,11.36949957,11.77350412,11.69654603,-75.26513458
59,11.90318593,11.98816514,11.51230883,12.69938822,11.55710119,11.55317533,11.90763109,11.92053719,-1261.914709
60,11.90318593,12.28475891,11.81971947,12.8898188,11.90763061,11.9073992,12.22527759,12.21669991,-277.6243355
61,11.90318593,12.25357656,11.81973135,13.06306327,11.95303768,11.93138965,12.22010538,12.16172965,16.90690562
62,11.90318593,12.03787146,11.49654692,12.63220176,11.61289933,11.62244419,11.9867256,12.04539349,-483.3929092
63,11.90318593,11.88393142,11.44008255,12.76279496,11.53600853,11.54368685,11.85614974,11.86509253,-160.9427625
64,11.90318593,11.93827298,11.4112869,12.75845787,11.52972606,11.52613355,11.90831167,11.94324384,-220.8669177
65,11.90318593,11.59408038,10.90863344,12.41468786,11.00840218,10.99547036,11.51745957,11.52375181,-86.39304556
66,11.90318593,11.91859664,11.41546468,12.64333916,11.53021269,11.53755157,11.8666303,11.86549362,-312.9383477
67,11.90318593,12.0249101,11.43396962,12.66061198,11.53282753,11.53192218,11.93782033,11.97703585,-755.3612297
68,11.90318593,11.81787151,11.40638609,12.62925818,11.5388399,11.54113306,11.79557618,11.772324,37.98104311
69,11.90318593,12.09335537,11.62320747,12.90870468,11.68915753,11.68259389,12.01578767,12.02530291,-12.38606289
70,11.90318593,11.66174413,11.06550918,12.44098318,11.17726103,11.17935156,11.66389335,11.63867213,324.1834785
71,11.90318593,12.27386816,11.78031835,12.96226445,11.8093433,11.7981955,12.23556413,12.19790115,12.96344745
72,11.90318593,11.89413772,11.43770127,12.6514407,11.56918581,11.5450486,11.88215315,11.8656376,-831.1939221
73,11.90318593,12.12102856,11.54077093,12.76700919,11.66549944,11.65063573,12.03597345,12.07036391,-1428.097848
74,11.90318593,11.64942003,11.03523174,12.40236435,11.19780818,11.1876861,11.65409961,11.65816806,-310.8915695
75,11.90318593,11.53487892,10.93680668,12.34704557,11.08739277,11.07836364,11.53797848,11.50399746,-30.03539504
76,11.90318593,11.91340472,11.42803242,12.58721593,11.54210295,11.54309441,11.91415864,11.88398495,-27.41504403
77,11.90318593,11.62106524,11.14427902,12.35792035,11.2606099,11.26099341,11.56144303,11.55845087,-649.9717211
78,11.90318593,11.97120103,11.51333433,12.79185046,11.57834839,11.57990815,11.88293142,11.90651259,-595.7887031
79,11.90318593,11.99062656,11.60144426,12.81580941,11.66860025,11.66231531,11.9302293,11.99177384,-1776.776862
80,11.90318593,11.9940136,11.44799007,12.67205729,11.59198796,11.56876521,11.94190656,11.91789333,-97.2654924
81,11.90318593,11.79546047,11.26848136,12.64809466,11.41121977,11.40912155,11.79192387,11.76461516,-1133.627618
82,11.90318593,11.90998781,11.30259469,12.53282151,11.41949418,11.3833543,11.87726278,11.86407404,-72.67561013
83,11.90318593,11.94222264,11.41470312,12.64625636,11.51646117,11.51111893,11.91957415,11.84547493,6.121719354
84,11.90318593,11.96246666,11.33168238,12.75453369,11.45431842,11.42713285,11.91645882,11.92891447,-1048.997771
85,11.90318593,12.03787606,11.51936794,12.80428372,11.60569634,11.60474053,12.06596316,11.99315088,5.940385877
86,11.90318593,11.90186507,11.2390798,12.67958985,11.35397644,11.34875086,11.83289083,11.83484201,-122.8462108
87,11.90318593,11.82962757,11.29342518,12.53340548,11.46028451,11.44894955,11.79422898,11.75591264,-367.1944734
88,11.90318593,11.60714864,11.10957948,12.52717205,11.23305899,11.22346536,11.54505648,11.61222028,-963.4036236
89,11.90318593,11.62318267,11.03330994,12.36074136,11.15617297,11.16261369,11.56336075,11.59574688,-1968.700028
90,11.90318593,12.11916613,11.72017631,13.0865677,11.84322656,11.85465873,12.15104648,12.15672556,-2687.643915
91,11.90318593,12.1640596,11.68715469,12.79725235,11.75948447,11.75083875,12.14511006,12.1489137,-567.0497299
92,11.90318593,12.26946476,11.84663793,13.08314505,11.92767591,11.90632626,12.21501255,12.24453133,-549.8846022
93,11.90318593,11.90544646,11.48639837,12.76908378,11.52224119,11.5243135,11.91776178,11.82149692,10.39369292
94,11.90318593,12.02691433,11.62985815,12.75423478,11.72762157,11.71467959,11.99412998,12.03004603,-1205.511152
95,11.90318593,12.0653622,11.4728728,12.74958153,11.58444439,11.56694335,12.03573012,12.01574573,-304.8691526
96,11.90318593,11.97337541,11.41497477,12.70940124,11.45883769,11.46764869,11.91927549,11.91118758,-156.772891
97,11.90318593,12.08017784,11.55901621,12.78903583,11.67208148,11.66323546,12.03221012,12.04452387,-481.9808893
98,11.90318593,11.84853855,11.33012293,12.48598142,11.44730352,11.44378552,11.81080739,11.82338848,-157.0581812
99,11.90318593,11.97075354,11.50687088,12.7920721,11.62908742,11.61663023,11.93801426,11.95997414,-9.282108202
100,11.90318593,11.94472393,11.443587,12.77713428,11.52639368,11.51482093,11.91924092,11.9423249,-92.83004081
101,11.90318593,11.77270204,11.2305592,12.50274441,11.39045918,11.36355259,11.76837406,11.73125185,-21.54698604
102,11.90318593,11.91783172,11.35807896,12.59852753,11.50758943,11.51046666,11.92961587,11.924833,-733.6503999
103,11.90318593,11.60550516,10.98827766,12.42800105,11.15498848,11.14292765,11.5568105,11.57922694,-62.73424481
104,11.90318593,12.09614151,11.58902925,12.6809417,11.65701285,11.66325106,12.10229072,12.04706257,133.6631313
105,11.90318593,11.89460283,11.27302496,12.51265441,11.41335704,11.40841757,11.86086153,11.8770241,19.82022301
106,11.90318593,11.76972321,11.27216513,12.61351718,11.38526489,11.37165695,11.78222783,11.73159825,-612.8582708
107,11.90318593,11.50679173,10.86115391,12.3420422,10.99998698,10.99093299,11.45528928,11.47891492,-3.307109862
108,11.90318593,11.65815469,11.17644593,12.57725423,11.24879676,11.23257214,11.60251011,11.6242003,-27.4968055
109,11.90318593,12.06316211,11.71851346,12.89347888,11.79781776,11.79157038,12.07248627,12.08138848,-345.0726335
110,11.90318593,11.80173378,11.20481741,12.61260767,11.25819919,11.25535809,11.72042414,11.72841762,-2317.870275
111,11.90318593,11.75491987,11.26763062,12.64358821,11.33201201,11.3282685,11.67915491,11.677834,-401.6130979
112,11.90318593,11.7388714,11.1566513,12.46937777,11.32288495,11.3271685,11.60295517,11.63823986,-514.6957874
113,11.90318593,11.90259004,11.35472196,12.68014019,11.50135232,11.50105915,11.84841134,11.83609458,-170.1859703
114,11.90318593,12.0117909,11.5528933,12.69209795,11.60662374,11.59367948,11.97274271,12.01513526,-614.7948564
115,11.90318593,11.76075404,11.23036708,12.54163131,11.3453533,11.33918502,11.70335843,11.71727343,-4109.093635
116,11.90318593,11.83622436,11.27843207,12.54379651,11.37780296,11.367515,11.75438293,11.77072998,13.99678297
117,11.90318593,11.70266456,11.20777711,12.5856701,11.31956723,11.32276596,11.62948748,11.62186541,-382.2023707
118,11.90318593,11.83743907,11.24437126,12.52548057,11.37756001,11.36949957,11.77676638,11.75994253,-385.6502724
119,11.90318593,11.98816514,11.51230883,12.69938822,11.55710119,11.55317533,11.93263407,11.94754534,-956.049463
120,11.90318593,12.28475891,11.81971947,12.8898188,11.90763061,11.9073992,12.18821861,12.21354362,-175.9506448
121,11.90318593,12.25357656,11.81973135,13.06306327,11.95303768,11.93138965,12.25385908,12.25769663,13.4354903
122,11.90318593,12.03787146,11.49654692,12.63220176,11.61289933,11.62244419,11.99330264,12.03114529,-684.1280006
123,11.90318593,11.88393142,11.44008255,12.76279496,11.53600853,11.54368685,11.83299106,11.89730168,8.628398156
124,11.90318593,11.93827298,11.4112869,12.75845787,11.52972606,11.52613355,11.93767625,11.96123046,-358.6716137
125,11.90318593,11.59408038,10.90863344,12.41468786,11.00840218,10.99547036,11.54521638,11.51871727,-57.65362669
126,11.90318593,11.91859664,11.41546468,12.64333916,11.53021269,11.53755157,11.85376428,11.8881435,-277.051406
127,11.90318593,12.0249101,11.43396962,12.66061198,11.53282753,11.53192218,11.95887045,11.97312409,-435.0823569
128,11.90318593,11.81787151,11.40638609,12.62925818,11.5388399,11.54113306,11.77992759,11.81393274,57.87672543
129,11.90318593,12.09335537,11.62320747,12.90870468,11.68915753,11.68259389,11.9796585,12.07165526,6.803039149
130,11.90318593,11.66174413,11.06550918,12.44098318,11.17726103,11.17935156,11.64256161,11.60834185,199.3782858
131,11.90318593,12.27386816,11.78031835,12.96226445,11.8093433,11.7981955,12.27595647,12.1949682,12.99225468
132,11.90318593,11.89413772,11.43770127,12.6514407,11.56918581,11.5450486,11.87588064,11.86198754,-1171.375227
133,11.90318593,12.12102856,11.54077093,12.76700919,11.66549944,11.65063573,12.07312871,12.06257397,-2186.542821
