,true_mean,oracle_mean,naive_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean
1,296.0141914,294.8850465,299.5810213,292.0613641,298.2070321,294.8028948,294.9499275,294.8608803,293.8083284,294.3905472
2,296.0141914,296.3770928,300.9720138,293.2488984,299.4470349,296.350594,295.8475367,296.4366696,294.8242762,295.9226144
3,296.0141914,294.4563122,299.2949203,291.6831712,297.930047,294.4151364,294.2333767,293.7022235,292.9235801,293.815287
4,296.0141914,296.1239453,301.1840395,293.2873093,299.8000726,296.0675257,295.7716595,296.4634375,294.4985822,295.6633849
5,296.0141914,296.0040377,300.8678174,293.3365167,299.3341161,296.1419501,296.7572027,296.3376806,294.1491729,296.2517421
6,296.0141914,296.6499632,301.4957431,293.8173117,299.9577068,296.5640077,296.2929898,296.5048304,294.7305941,296.726194
7,296.0141914,295.0425085,299.5806535,291.7675419,298.0373266,295.0511632,295.6877583,294.7370176,295.8354835,295.7303728
8,296.0141914,295.9936382,300.9161716,293.4082468,299.6111238,296.0140621,295.4381287,295.3792408,295.0599775,296.4173633
9,296.0141914,295.4325112,300.4651764,292.6931844,299.0351753,295.3476689,295.5896166,295.5102766,294.4216026,294.9428551
10,296.0141914,296.6604545,301.7086946,294.1453628,300.3860323,296.557921,296.1751017,296.8945938,295.3368421,296.4320233
11,296.0141914,295.5592222,300.4594994,292.6852778,299.0500911,295.5034395,295.5251247,295.0074191,294.5397062,295.219802
12,296.0141914,295.5489244,300.7480241,292.9958584,299.312713,295.5632607,295.6511546,295.331721,293.7252161,295.8670818
13,296.0141914,296.7949803,301.252751,293.5649815,299.7624936,296.8451408,296.7623062,296.9827142,295.2014532,297.5514076
14,296.0141914,295.7909023,301.2216824,293.2797318,299.759183,295.7403055,295.9172188,295.3576621,294.3460248,295.8574561
15,296.0141914,295.2008971,300.0151115,292.2379651,298.5073913,295.2038631,294.7830746,295.0912554,293.017413,295.5257775
16,296.0141914,295.8179574,300.9013336,293.1342306,299.4195221,295.7427634,295.6892347,295.2132042,292.8788354,296.157458
17,296.0141914,295.0568249,299.6355525,292.0807522,298.2059217,294.8932448,294.9747061,294.4163021,292.8756423,294.7862366
18,296.0141914,296.0036949,300.8821714,293.1440698,299.5122477,295.9665036,295.5841126,296.1735958,294.0521843,295.9246084
19,296.0141914,295.2830493,300.3748049,292.9524374,298.9854391,295.2058941,295.137121,295.044153,295.1817757,295.4829668
20,296.0141914,295.4227163,301.5335458,293.5341029,300.1891589,295.5811427,244.0408213,295.0093055,296.1106644,296.1162354
21,296.0141914,293.4182429,298.476125,290.878534,297.1551602,293.3831665,293.1594469,293.1967769,291.7884303,293.8311763
22,296.0141914,296.4987425,301.6772095,293.654788,300.3288287,296.4601437,296.2314713,296.5315772,293.8250074,296.9101036
23,296.0141914,295.9431066,300.5262909,292.7995294,299.0838335,295.8961873,295.5705343,295.525743,295.4531133,295.5354967
24,296.0141914,295.701122,301.548332,293.7147581,300.0872583,295.8248351,296.0048912,295.8746739,296.0224469,296.0001654
25,296.0141914,296.8673979,301.8891987,294.0523248,300.5271353,296.8318225,296.835359,296.7846275,296.7686398,297.4186148
26,296.0141914,295.7934274,301.1138117,293.3614999,299.7682255,295.89141,296.102473,296.1591548,295.627905,295.457176
27,296.0141914,295.4674816,300.6991604,292.9437555,299.2866067,295.4953499,294.9531903,295.5447941,293.162991,295.2017914
28,296.0141914,294.989898,299.6295864,291.8859571,298.2520955,294.97871,294.6890729,294.6565646,292.8898485,294.3546706
29,296.0141914,295.3180511,299.64259,291.8888613,298.1797047,295.3373929,295.2755719,295.083383,293.4187903,295.539871
30,296.0141914,296.9060635,302.3600681,294.5157677,300.9502329,296.8602658,296.3667911,296.6160849,296.1742366,296.9624281
31,296.0141914,295.7606879,301.2396728,293.2618267,299.8080257,295.7526754,295.4581094,295.7700242,294.4716909,295.7120205
32,296.0141914,295.4735385,300.6312075,292.8477693,299.0177372,295.4960128,295.4126213,295.0617343,295.8483202,295.5579075
33,296.0141914,296.0835221,301.6352709,293.7985057,300.0305248,296.1470061,296.303704,295.341773,296.0696074,296.7202359
34,296.0141914,296.592587,302.1419092,294.2188006,300.8200794,296.7991155,297.3526878,297.0982121,296.8647247,296.5672353
35,296.0141914,296.4421974,301.7676072,294.0139593,300.3202903,296.639628,297.0311946,296.5700188,295.8870415,296.4523981
36,296.0141914,295.9760413,300.8264139,293.3058797,299.279772,295.9037369,296.1172578,295.5497788,296.7731292,295.9797129
37,296.0141914,295.6944448,300.0144863,292.3888453,298.5269026,295.7434867,295.7515128,295.206908,294.6912866,295.5397007
38,296.0141914,295.5470804,300.7988212,292.9651517,299.4143333,295.5361532,295.2769233,296.1546932,293.2113271,295.8860393
39,296.0141914,297.0236377,301.4989307,293.7958982,299.9560087,296.9843197,296.6014742,296.8030408,296.3587533,296.8180657
40,296.0141914,295.634646,301.102986,293.3788572,299.7117262,295.639296,295.6462392,295.1976704,297.3258181,295.1139334
41,296.0141914,296.403061,301.3390571,293.6213498,300.0634428,296.2110688,296.0526105,295.9443515,298.3689191,296.8659065
42,296.0141914,295.5558938,300.2774605,292.4587909,298.898958,295.5540538,295.7685463,295.0281725,293.1278698,295.5075737
43,296.0141914,294.7703217,299.7495988,291.8730644,298.4064966,294.7898049,294.678218,294.5587764,294.7501831,294.9796216
44,296.0141914,296.1296645,301.1931033,293.4966758,299.7111303,296.2687164,296.1373937,296.4542998,296.1908636,296.2161938
45,296.0141914,294.9359108,299.6666287,292.0883954,298.146501,295.177639,294.9296445,295.2784776,293.943231,295.085402
46,296.0141914,296.6344523,301.6307782,293.9220465,300.2865383,296.7146468,296.7359513,296.1837461,295.6656125,295.6436163
47,296.0141914,296.5936198,301.414668,293.7325391,299.8656803,296.4337562,296.0234695,295.6988825,293.9873768,296.4346594
48,296.0141914,294.7374849,299.3133185,291.6334144,297.9721462,294.7498511,294.9670667,294.725952,294.3317856,294.494773
49,296.0141914,296.9491338,301.9301773,294.0956098,300.5900626,296.9450919,296.7117523,296.7988134,294.8801949,297.37239
50,296.0141914,295.9387591,300.8648719,293.1440007,299.5635332,295.9369346,296.2898963,295.2391046,295.8117895,296.2642871
51,296.0141914,295.0331601,300.2303486,292.4662806,298.830711,295.1297139,294.5696078,294.3402133,292.4283562,295.4297885
52,296.0141914,297.0843023,301.8348588,294.374576,300.4637269,297.0489468,296.829137,297.5345965,294.7062143,297.4303765
53,296.0141914,295.4451022,300.5897399,292.6125349,298.968832,295.5507082,295.6193651,295.9573298,294.8006498,295.4597084
54,296.0141914,294.9712493,300.0096192,292.2450506,298.6307729,294.951036,295.3893128,294.5803857,294.3538163,295.2182261
55,296.0141914,296.3383093,301.5377306,293.6020466,300.0349344,296.3148836,296.2902008,295.8828059,295.1371916,296.8882225
56,296.0141914,296.0886777,300.8829889,292.9748564,299.5099036,296.122098,295.2702547,296.1242073,294.5047973,296.566355
57,296.0141914,295.5561686,300.615391,293.0284736,299.3717104,295.6052398,295.0829487,295.2438392,295.7747537,295.1566442
58,296.0141914,296.5254241,301.1212259,293.6364452,299.7428272,296.471908,295.6720799,295.8060448,294.2622011,296.7575357
59,296.0141914,296.9577627,301.7339619,294.0340676,300.305303,296.9004538,297.0493544,296.8957797,295.5757394,296.9843
60,296.0141914,296.7203077,301.3638801,293.4333649,299.9501159,296.7496614,296.3897773,296.8969554,295.2886709,296.4369037
61,296.0141914,297.3017146,302.5089355,294.8091489,301.0292635,297.225468,297.3870347,297.4120816,294.5669608,297.1476589
62,296.0141914,295.9409096,301.253034,293.3061972,299.7482348,295.9465691,295.767113,295.9238804,296.0111067,295.8942802
63,296.0141914,296.610423,301.0319838,293.6185489,299.811188,296.7944349,297.2877608,296.8350493,294.4943427,296.8112091
64,296.0141914,296.3103085,301.4765121,293.6531351,300.0375029,296.2634304,296.2727692,295.6546614,295.3057993,296.258395
65,296.0141914,296.4089796,300.9200167,293.0478106,299.4728058,296.4077904,296.0840763,295.8301087,294.4786767,297.2974826
66,296.0141914,297.0171827,302.3132573,294.6068297,300.9249373,297.0296309,297.0777178,296.9947395,295.469977,296.8199253
67,296.0141914,295.5708491,300.7385656,292.7944369,299.2371154,295.6169543,295.0817206,295.4716477,295.2143424,295.6132988
68,296.0141914,295.9017709,300.9266721,293.0688361,299.8208373,295.8263737,295.2888595,295.7845901,295.0679841,295.6290682
69,296.0141914,294.6919219,299.8825611,292.3047406,298.5907529,294.6881742,294.0206958,294.909084,294.7663954,295.2678788
70,296.0141914,296.317327,301.3348295,293.795434,299.9727979,296.3421904,296.0474671,295.9847815,296.612341,296.3150224
71,296.0141914,297.2610338,302.314596,294.3943089,300.8425677,297.3386206,296.6472165,297.4759318,296.9530495,298.034734
72,296.0141914,295.0791651,299.7424756,292.2601323,298.2827586,295.1300796,294.4735986,294.6203845,294.5630515,294.9238342
73,296.0141914,295.7218468,300.586764,292.8828713,299.1277551,295.8063359,296.1951328,295.165652,294.1057139,295.7319917
74,296.0141914,296.7631683,301.6914134,294.1810786,300.3836442,296.6965166,296.7726429,296.9136071,295.1756225,296.8546163
75,296.0141914,295.6833077,300.5968772,292.856864,299.112684,295.7291893,295.2997729,296.3201701,296.1663493,295.7400694
76,296.0141914,297.3991697,303.1006015,295.0957143,301.594768,297.3496727,297.2380152,297.8020094,297.3475892,297.7919932
77,296.0141914,296.9308158,302.5490533,294.7324025,301.0794169,296.9017151,296.9016365,297.1195391,293.2548057,296.6040973
78,296.0141914,296.7019918,301.9523521,294.4366875,300.6554727,296.6674536,296.2635356,297.0664239,295.2179399,296.2649578
79,296.0141914,295.5859197,300.9548888,293.5166474,299.666089,295.6078154,296.464995,296.030473,295.0438715,295.4375415
80,296.0141914,296.0544916,301.172685,293.5795934,299.692781,296.1003811,295.605381,295.5348169,295.9885737,296.8122993
81,296.0141914,295.2219707,300.0722644,292.4764607,298.6472558,295.1479621,295.1258504,294.8584402,293.0751157,295.1942566
82,296.0141914,296.4506418,301.3491801,293.6516281,300.0584163,296.3887103,296.4399174,296.9046266,293.5133432,296.7518983
83,296.0141914,296.1618472,301.157895,293.4003146,299.6700144,296.0243699,295.4290999,296.1055839,244.1652679,295.6818224
84,296.0141914,296.2178677,301.215712,293.5094643,299.8335189,296.2551587,296.0139071,295.8783603,296.2897307,297.0817261
85,296.0141914,295.9753183,300.6958896,292.966407,299.197037,295.979551,296.2558205,296.0683348,294.9399395,296.0890233
86,296.0141914,295.9692514,301.0906691,293.4736927,299.679527,296.0510478,295.6140327,295.7908061,293.7848174,295.7658337
87,296.0141914,295.7733692,300.7270847,292.9435042,299.3939805,295.7665801,296.0466166,295.5831426,295.628851,295.5222456
88,296.0141914,295.768531,300.8886022,293.2332201,299.3667685,295.7151078,295.1495189,295.9462703,294.8018675,295.2512621
89,296.0141914,296.2392367,301.8450488,294.1632458,300.5944813,296.2238065,296.2077076,296.2180747,294.315928,295.8603044
90,296.0141914,294.9394451,299.6847214,292.2193739,298.2354106,294.9939178,295.0065184,294.5375036,292.9776155,295.0465309
91,296.0141914,295.4701105,301.0401584,293.360693,299.5108466,295.5352822,295.7298426,295.8748182,296.7734392,295.2634027
92,296.0141914,295.6241185,300.2851739,292.5687406,298.807306,295.5232989,295.3824856,294.7585603,293.910321,295.8197675
93,296.0141914,296.7169693,301.3039351,293.4032306,299.6908817,296.7596065,296.605508,296.7414337,297.8928341,296.7928276
94,296.0141914,296.3401429,301.079873,293.5761005,299.4755002,296.3567606,296.6917602,296.3354409,294.2595452,296.1447923
95,296.0141914,294.6898412,299.7639217,292.0014778,298.3006345,294.7852044,294.7707599,294.8299792,292.1430054,295.1088922
96,296.0141914,296.338823,301.7839169,293.9797262,300.3310776,296.5163255,296.4933793,296.4544455,294.2783939,296.1036301
97,296.0141914,295.435232,300.3507549,292.539776,299.0489203,295.230355,295.2290315,295.2237681,293.6519735,295.4253849
98,296.0141914,296.9478518,301.9781716,293.8493119,300.3995462,296.8475532,296.5003936,296.5745562,296.4784699,296.4220371
99,296.0141914,296.4700681,300.9530055,293.3787268,299.5885709,296.4361919,296.0698184,296.6143392,293.1883652,296.9310524
100,296.0141914,296.3185957,301.2292506,293.7194778,299.8289739,296.2572377,296.8259288,296.5603627,295.5899629,295.8354842
101,315.5805902,315.1336745,319.9206393,312.8279195,318.3679991,315.1961658,314.5321727,314.7632128,312.0398512,315.1735034
102,315.5805902,314.8632953,319.529138,312.271913,318.1181515,314.7831037,314.7918367,314.6223856,314.8919198,314.9127084
103,315.5805902,316.6103008,321.9219812,314.5185376,320.5047616,316.6479568,316.9049863,315.7791902,315.4479416,316.9939008
104,315.5805902,315.665161,320.8164132,313.2809474,319.4396529,315.6087021,315.460985,315.2570872,312.5729823,315.8153735
105,315.5805902,314.6617659,319.5188854,312.436979,318.0289267,314.6248206,314.3912566,314.0302808,314.9276751,314.0409729
106,315.5805902,315.7794476,320.2284053,313.0388515,318.9273067,315.7785125,315.7575182,315.7804555,315.0656132,315.6130637
107,315.5805902,315.7837804,320.6764064,313.2345547,319.051047,315.79824,315.5960224,315.9738785,315.5454485,316.1683731
108,315.5805902,315.6001538,320.3784686,313.1146112,318.9403913,315.4999606,316.1236569,315.5233757,314.1800148,314.995573
109,315.5805902,315.7594748,320.2288504,312.7112448,318.7165905,315.5989002,315.8186362,315.7145747,313.0882034,315.5807484
110,315.5805902,315.7262306,320.2213253,312.8170209,318.8500851,315.7242859,315.3439766,315.9744557,315.3262162,315.3222781
111,315.5805902,315.3994378,319.337071,312.3293407,317.946888,315.2497317,315.5589786,315.6759919,312.9576137,314.8142537
112,315.5805902,315.2562275,319.5784376,312.3339273,318.2599442,315.2084642,315.5964232,315.794532,314.2923365,315.3963409
113,315.5805902,316.1353192,320.2255809,313.0956463,318.9675703,316.0557883,315.7486645,315.9554427,316.376117,315.9901977
114,315.5805902,315.5085815,319.7627723,312.6707204,318.2511821,315.497164,315.1546856,315.0071542,312.9529024,315.5705755
115,315.5805902,316.3398458,321.0782983,313.6214255,319.5980384,316.4759718,316.2854181,317.1476982,315.3379021,316.522789
116,315.5805902,315.5789475,319.9418948,312.689498,318.5031599,315.6510034,314.9513667,315.6220124,315.1616927,316.1522636
117,315.5805902,314.787277,319.6531444,312.2252359,318.3041476,314.7325748,314.4125644,314.3619137,311.9764538,315.4480294
118,315.5805902,315.0998365,319.8347797,312.4166197,318.4023119,315.1085527,314.1615587,315.3878205,314.0296791,315.5558841
119,315.5805902,316.4216842,321.4243064,313.8917893,319.9576303,316.4920892,315.6942064,317.1617876,316.4139096,316.2533152
120,315.5805902,316.6843221,321.5815933,314.4041082,320.2621359,316.5591694,317.1466917,316.3328973,315.5096735,316.9385004
121,315.5805902,316.3535467,320.8659317,313.5478099,319.4330021,316.1829525,316.3198265,316.7668235,317.5848451,315.7526984
122,315.5805902,315.2762742,320.4411028,313.2117847,318.9308832,315.2157391,314.6197377,314.2722599,313.9070354,315.2268105
123,315.5805902,314.7532519,319.1288656,312.2801677,317.7963688,314.7375598,314.6604043,314.2783346,316.2840242,315.0914812
124,315.5805902,316.6521966,320.5218966,313.3219378,319.1797317,316.6238256,315.8035088,315.3985723,316.0866993,316.8393319
125,315.5805902,316.4718115,321.2774486,314.0533318,319.8655463,316.427548,316.4012813,316.897808,315.6893041,317.1567884
126,315.5805902,315.4501769,320.4160516,313.1502805,319.1969222,315.5014862,315.3516901,315.5557254,314.7229594,315.3643295
127,315.5805902,314.9626638,320.2073822,312.8675198,318.9026459,314.8591495,314.8432529,313.7918311,314.881699,259.9467846
128,315.5805902,316.3354633,320.632526,313.3993437,319.2495376,316.3557345,316.4893298,316.5412513,315.7011963,316.7883356
129,315.5805902,316.4008624,320.7611484,313.5855319,319.468977,316.4547844,317.1524161,316.5991076,314.0203025,316.5268388
130,315.5805902,315.4298407,320.6624056,313.2807493,319.2186119,315.3869656,315.3040735,314.8362213,311.7942126,315.6394659
131,315.5805902,315.4166644,320.1472665,313.1393976,318.7978403,315.4524009,315.936307,315.0202408,313.099093,315.0295376
132,315.5805902,315.2008395,319.7537284,312.3920389,318.4801676,315.3648476,315.3284782,315.1797163,314.9944974,315.38758
133,315.5805902,316.1553015,320.5352466,313.4225493,318.9581795,316.1793893,316.4927643,316.2973247,315.7883434,316.6423359
134,315.5805902,316.2006578,320.5048739,313.2079722,319.218044,316.1607321,316.1327156,316.2636845,315.8210731,315.9336725
135,315.5805902,316.020062,320.9172428,313.5867731,319.4800792,316.0501327,316.2044538,315.8820087,314.7794382,316.4232293
136,315.5805902,316.0812071,321.2427517,313.8253501,319.9770545,316.1261257,315.6804552,316.0922182,315.4120727,315.6521026
137,315.5805902,315.8272837,320.2472346,313.2225081,318.7896798,315.8151624,315.5224694,314.6942018,313.9514557,315.4968475
138,315.5805902,316.7201588,321.0643737,313.8445229,319.6509052,316.7231904,315.9537484,317.208229,315.5775766,316.1513208
139,315.5805902,314.9433483,319.569137,312.2848233,318.1469489,314.9129569,315.0249208,314.6709015,312.98414,314.3201784
140,315.5805902,314.9900652,319.7373977,312.5009297,318.4685977,314.9206032,315.3141538,315.0360211,311.6861697,315.7193922
141,315.5805902,315.6134565,320.2856762,313.1355121,318.9391136,315.7427034,315.3147149,315.2703375,315.0000032,316.0205314
142,315.5805902,314.8346017,319.2862841,312.1207428,317.8810935,314.7518814,314.7155038,314.8573829,312.9387071,314.4035337
143,315.5805902,315.3904175,320.4541704,313.0923228,319.0513632,315.2153468,315.3311633,314.3641708,314.3377958,315.3374815
144,315.5805902,316.1708888,321.0622981,313.7541768,319.7356431,316.1711164,315.939483,315.7379327,314.805352,316.2615264
145,315.5805902,316.438349,321.4836296,313.9579185,319.938653,316.2486037,316.495788,315.8864557,317.8693777,316.0101168
146,315.5805902,315.0903583,319.6011041,312.2595436,318.0460551,315.1007097,315.2413465,314.5775758,311.6903476,314.8564404
147,315.5805902,315.1983311,320.6296728,313.3162292,319.4492149,315.2243638,315.4215572,315.3929182,314.3173585,315.1612109
148,315.5805902,315.1643414,320.0660357,312.4989581,318.7142856,315.1826144,315.0884002,314.8626287,314.3038678,315.0993029
