,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,lin_oracle,nn_imp_mean,nn_oracle,nn_pi_imp_mean,nn_pi_oracle,nn_wmse_imp_mean,nn_wmse_oracle
1,442.7144389,431.4101597,411.2912914,499.8794073,411.3830521,410.8888617,429.7716175,429.2664171,431.3959055,431.0239316,423.5062493,448.9934398
2,442.7144389,440.8726093,421.8661095,502.1920554,422.1361146,421.9398816,441.856563,440.8165146,440.6512435,440.594396,372.5360258,372.7794607
3,442.7144389,445.667885,426.5736922,503.1381745,427.4926242,426.4420476,445.1213764,444.6434622,445.6665416,445.4981862,433.1637005,458.2573635
4,442.7144389,450.7110729,434.8140699,505.4096637,435.6034845,434.8021791,449.031526,448.8433839,451.1493456,450.4132474,515.8879227,460.8845419
5,442.7144389,445.4793769,424.7327406,503.6574319,424.7817753,424.6339791,445.7828246,444.493506,444.90521,444.8053194,334.5829335,130.8136526
6,442.7144389,441.1725906,419.4393299,505.2113006,419.6292272,419.0819807,441.0297407,439.859007,441.8065712,440.7800207,470.5101719,432.5922459
7,442.7144389,436.545886,413.8176663,495.0001856,413.6396605,413.7615882,435.0902463,434.9096954,435.5811167,436.1041404,393.9966696,494.4574265
8,442.7144389,439.2168075,420.576399,497.9098392,420.9634305,420.6164874,437.243132,437.3758788,438.2440028,437.9079472,420.4533289,467.4708636
9,442.7144389,438.0630022,418.5679387,501.7443191,419.0627206,418.4324412,438.9779456,437.9598028,438.0124332,438.6360628,452.8044999,457.7800958
10,442.7144389,424.8557976,404.9393786,498.7754817,405.472391,404.9884048,423.524777,423.6238669,425.6584863,425.1469477,440.2663783,461.5306182
11,442.7144389,445.722747,426.4561557,504.4976231,425.9181606,426.4258563,444.4412864,444.2270087,445.3691743,445.2112785,441.2458505,461.585336
12,442.7144389,443.7484942,427.6727269,509.5549993,427.8511751,427.5378205,440.7995662,442.2691192,442.9183557,443.1583684,437.7647959,454.6191497
13,442.7144389,450.5020156,434.5887767,510.9388407,434.6478889,434.5110029,450.4873293,449.4745859,450.0952411,449.8936729,465.678332,459.7034117
14,442.7144389,444.493102,424.7839477,502.2669262,424.9079421,424.7828682,443.6604185,444.1165641,443.1808568,443.6677023,436.4487835,447.9487517
15,442.7144389,438.0566962,420.4488156,499.3906497,420.9014216,420.430503,437.1014023,436.5582311,436.8903064,437.4128874,465.7011729,428.3578421
16,442.7144389,442.1694859,425.6336932,505.8464868,425.1573221,425.6585531,441.8564261,441.0018847,441.7250856,441.508069,430.8538708,467.4274055
17,442.7144389,456.2622863,441.6161058,516.7271672,441.8070459,441.3448424,455.6394363,454.4960783,456.5954357,456.266234,477.0804674,462.2753805
18,442.7144389,436.1204136,420.5343622,500.1797207,420.7222406,420.3464565,436.9338153,436.873119,434.3692335,435.3100264,433.5518131,446.8248556
19,442.7144389,425.8739411,401.3330646,487.7235782,401.8069771,401.4309879,426.3614078,425.2330225,425.8369976,425.6545684,425.2419166,412.7296797
20,442.7144389,437.500656,417.3267993,501.994733,418.1477305,417.432161,433.9190267,434.3164542,436.6128015,436.7523135,443.5966401,490.0479347
21,442.7144389,442.1233444,421.2726713,499.2304625,421.8199406,421.2156728,443.1404676,441.9711378,441.7689638,442.1234997,279.364553,-891.0935979
22,442.7144389,440.4140213,418.8041394,503.2767998,419.326863,419.0589866,439.0939233,437.961645,440.0483536,439.9726532,433.4478743,427.4339693
23,442.7144389,439.137106,418.6442183,503.3357891,419.1684384,418.5025975,437.3300127,436.7334156,438.207321,439.0800552,441.3119462,502.8237013
24,442.7144389,436.213469,418.1084208,496.174458,418.6729477,418.0509944,434.4737555,433.572994,436.7084408,435.1394851,460.8659476,484.353611
25,442.7144389,435.6780094,412.8545408,494.3311096,413.8549771,412.7947261,434.4460746,433.280541,436.0586213,435.1817169,357.8393791,398.4424945
26,442.7144389,450.2204364,435.8627416,506.3735744,435.6399387,435.8679177,449.9935614,448.8765103,450.468558,450.1520174,467.2505861,448.6509625
27,442.7144389,438.3384793,426.48226,508.2402896,427.7003201,426.4240853,440.4782812,439.2758946,438.725502,438.9872128,438.6345977,435.1397456
28,442.7144389,442.3093111,423.8725316,503.8334862,424.4489873,423.9283251,441.5076528,440.3884183,441.5327032,442.410311,444.5410769,473.0623811
29,442.7144389,452.235303,434.7261438,510.1270615,435.1016249,434.7329721,450.3681235,450.0619357,452.691027,451.5584122,441.842741,484.2392491
30,442.7144389,442.4108014,424.4781461,503.1856208,425.302653,424.4785239,440.5439386,440.2370232,441.3923982,441.1882424,496.5187164,454.0298789
31,442.7144389,443.7246776,425.2874005,503.9553155,426.0376386,425.1404546,443.0267631,442.5978574,443.2628741,443.4007909,408.7380203,259.4907333
32,442.7144389,440.9159927,423.4055319,503.9045689,423.9205793,423.2511125,439.880436,439.1954476,441.8058392,440.8334909,461.2315801,472.2502192
33,442.7144389,428.6909576,407.7789003,493.423342,409.2652872,407.6637114,425.8314207,427.0094309,427.6670293,428.3238222,411.1861906,433.7811782
34,442.7144389,448.6988479,429.9405075,506.0604189,429.5457148,429.9115736,447.8441128,447.2215975,449.9888423,448.5960506,447.0345715,464.4406725
35,442.7144389,439.1911261,422.0206437,507.38002,422.5750636,422.0547726,439.6744534,439.7923919,438.224891,438.2551425,444.9278731,435.5219002
36,442.7144389,445.5946444,428.2722469,504.8263827,427.8609961,428.0314122,445.3383696,445.6383623,444.5093092,445.4292498,406.2631313,442.3788973
37,442.7144389,433.1807792,411.1435663,497.6307422,412.2242963,411.099763,432.5274023,431.367661,433.1361648,432.8220115,368.4823039,169.5453582
38,442.7144389,423.4149353,402.0654315,490.8982709,403.2776286,402.2771496,422.7717797,421.0293561,424.6906293,423.942318,443.3989268,460.489298
39,442.7144389,446.872074,428.9238239,505.4795971,429.5489314,428.8708074,444.7018018,444.6253369,446.6656645,445.6706249,438.6193038,414.5705157
40,442.7144389,432.5998966,412.5444841,498.6335161,413.6125444,412.5509435,432.1701027,430.6962199,432.3222398,432.3201413,453.8654169,432.6286466
41,442.7144389,436.867552,419.7711622,498.7799903,419.8563842,419.7170609,436.0043722,435.2728907,435.8811411,436.28675,471.0259169,453.6506649
42,442.7144389,454.5480216,438.8552266,509.8842884,439.5756668,438.6064108,453.1860337,452.5836176,453.7683429,453.1995547,465.2801406,453.1819067
43,442.7144389,441.3886017,421.9612922,500.668574,421.3996351,421.847162,439.0586412,438.6572696,440.8717841,441.1532159,412.6495702,432.3582423
44,442.7144389,439.1343227,422.7440015,498.588017,423.8512169,422.8036902,440.7968457,440.4060293,438.4819312,438.6929643,414.860371,369.8127914
45,442.7144389,448.2019786,429.6701905,500.5522364,429.8303183,429.7946762,445.5609484,446.0815787,447.5532449,447.3341292,381.0945192,439.8473083
46,442.7144389,452.296801,435.3741216,507.3267708,436.369406,435.505102,451.8185527,450.3932883,451.4441581,452.3645704,456.9448403,449.1498059
,442.3090187,451.6505985,439.4559416,518.4042647,438.2402135,439.4688365,452.0464864,452.1360228,451.2079668,451.4804649,461.2957924,482.225835
,442.3090187,420.621633,398.0809584,493.3652178,397.6303738,397.952852,416.1314934,417.1600725,420.2960162,420.4133022,391.6731199,363.5845945
,442.3090187,442.0257147,422.3897042,504.6684754,422.4184431,422.4019474,440.7140311,440.8626513,442.8726948,441.7674273,418.3630967,405.680942
,442.3090187,449.5939524,437.70803,507.5211421,437.9413672,437.7992757,449.3524755,448.7203668,447.9429224,448.7034482,456.2780081,477.6597725
,442.3090187,436.6576034,419.2100353,502.1491345,420.4870753,419.2640492,437.1955789,435.5109786,438.0097692,436.7863634,531.3522243,523.8072924
,442.3090187,433.422426,413.1068228,497.0160327,413.3441609,413.0967197,430.7240323,429.8857412,432.0163891,432.6884124,449.6331112,430.6148651
,442.3090187,445.8041103,427.0017842,503.6000486,428.0061917,426.9357647,444.8544124,443.9002475,444.8789577,445.722347,385.0928539,264.2460246
,442.3090187,440.3678379,420.36076,499.5194001,420.8326692,420.0294904,440.1832393,439.9082963,440.1367434,440.2671922,519.1852699,453.1958282
,442.3090187,450.6785868,435.3622407,508.7149609,436.5602591,435.392061,450.8456074,450.6159747,449.649309,450.3356222,454.0202238,472.4682321
,442.3090187,434.047402,414.078577,495.6079038,415.6273404,414.0341264,432.458166,432.4980272,433.5169344,433.5532986,384.9886927,441.9507885
,442.3090187,426.3124063,409.7077157,495.8962596,411.1785668,409.8469789,427.2346364,427.3479375,425.9962768,426.5413038,429.7906001,386.9279613
,442.3090187,442.3296721,425.5646754,507.81984,426.321313,425.5698724,442.6604727,442.5604622,442.3451847,442.6829972,437.8111282,433.9344071
,442.3090187,446.4556736,429.6802908,503.1796827,427.7784907,429.2693204,446.8615632,445.3169904,446.4256178,446.5583973,423.9516146,504.0481004
,442.3090187,430.2668281,413.4479793,495.9027253,414.7878855,413.5531304,429.0983162,429.2217878,430.5716073,430.2944849,456.5455975,534.3306978
,442.3090187,451.541884,432.5924493,511.6303859,433.3826358,432.5161209,450.1997667,450.9310808,451.2756714,451.1288362,379.189293,445.0548118
,442.3090187,436.006227,418.1137802,496.5286756,419.3001579,418.3599808,436.0901025,435.4215997,435.5946926,435.8116892,504.9768487,465.7366377
,442.3090187,454.0637075,441.4454515,513.7065101,442.6375058,441.3017581,452.7170566,453.3564487,452.6495558,453.563083,465.2473682,487.8854374
,442.3090187,454.9473049,440.7208687,515.0602584,440.5376138,440.5360756,456.3607072,455.1201896,455.3878073,455.2289199,423.7230657,398.528377
,442.3090187,434.3455207,416.9421549,499.6499524,418.6849649,416.9654343,434.6468177,433.3938418,435.1071102,434.3278832,419.7423437,451.904031
,442.3090187,435.095502,416.0052998,500.1909863,417.5533309,415.9232731,432.4082197,432.3426519,434.995007,434.1901417,323.3029343,475.3835614
,442.3090187,439.5609928,422.0197814,502.8156904,420.9290989,421.7787228,439.1958824,438.5430417,439.8401205,439.8892265,411.4753099,461.6213753
,442.3090187,440.5286456,424.3102165,497.8668723,424.9332329,424.3516735,441.4658908,440.9590904,440.7515512,440.2121839,418.5718251,274.0092445
,442.3090187,440.6738615,423.7188795,504.0665647,423.717813,423.6900217,438.5958474,438.7936438,439.5288076,440.0616463,430.0043457,426.1059124
,442.3090187,434.8293258,414.2197373,500.8097544,414.7703054,414.2156587,433.6786127,433.7933304,434.3625635,434.3431783,420.9714638,305.5460698
,442.3090187,447.6647998,434.4527179,505.1479825,435.8212447,434.404094,447.2409274,447.1015448,447.4408053,447.5848115,462.8720538,477.0424444
,442.5716853,440.9625174,422.8390741,502.6616621,423.3132766,422.7933344,440.1853244,439.7279926,440.6667662,440.6239495,432.7063353,413.5317357
